code,name,market,rs_rating,mom_trend,rsi14_3d,ret_3d_pct
6538,倉和,TPEx,82,加速,81→85→88,30.2
6727,亞泰金屬,TPEx,98,加速,59→65→71,15.8
6217,中探針,TPEx,98,維持,44→46→52,2.4
3152,璟德,TPEx,31,加速,48→54→59,11.0
5498,凱崴,TPEx,20,維持,39→42→48,2.1
3162,精確,TPEx,62,維持,58→61→60,0.5
5340,建榮,TPEx,13,維持,39→40→48,6.4
6584,南俊國際,TPEx,66,維持,45→53→53,3.7
6174,安碁,TPEx,87,加速,67→65→70,18.4
6485,點序,TPEx,29,轉弱,74→64→65,-0.9
3317,尼克森,TPEx,63,轉弱,68→71→72,0.1
3624,光頡,TPEx,58,維持,85→86→86,0.3
3088,艾訊,TPEx,74,加速,80→82→84,8.4
5314,世紀*,TPEx,1,維持,41→46→41,8.9
8932,智通*,TPEx,15,維持,60→61→62,-1.0
6173,信昌電,TPEx,96,加速,74→77→81,19.9
7717,萊德光電-KY,TPEx,8,維持,46→48→49,2.0
5291,邑昇,TPEx,76,維持,55→62→59,0.5
6739,竹陞科技,TPEx,44,維持,42→42→45,5.3
6643,M31,TPEx,55,維持,47→51→53,6.9
6227,茂綸,TPEx,58,加速,65→67→75,11.3
6679,鈺太,TPEx,67,加速,61→68→69,9.5
7751,竑騰,TPEx,80,維持,38→43→48,12.7
6237,驊訊,TPEx,53,加速,70→77→79,16.8
3236,千如,TPEx,69,加速,74→79→83,31.5
3294,英濟,TPEx,19,維持,76→76→77,3.9
7805,威聯通,TPEx,29,加速,49→55→66,8.4
